Date,Name
02-Jan-2012,New Year’s Day
06-Apr-2012,Good Friday
09-Apr-2012,Easter Monday
07-May-2012,Early May bank holiday
04-Jun-2012,Spring bank holiday
05-Jun-2012,Queen’s Diamond Jubilee
27-Aug-2012,Summer bank holiday
25-Dec-2012,Christmas Day
26-Dec-2012,Boxing Day
01-Jan-2013,New Year’s Day
29-Mar-2013,Good Friday
01-Apr-2013,Easter Monday
06-May-2013,Early May bank holiday
27-May-2013,Spring bank holiday
26-Aug-2013,Summer bank holiday
25-Dec-2013,Christmas Day
26-Dec-2013,Boxing Day
01-Jan-2014,New Year’s Day
18-Apr-2014,Good Friday
21-Apr-2014,Easter Monday
05-May-2014,Early May bank holiday
26-May-2014,Spring bank holiday
25-Aug-2014,Summer bank holiday
25-Dec-2014,Christmas Day
26-Dec-2014,Boxing Day
01-Jan-2015,New Year’s Day
03-Apr-2015,Good Friday
06-Apr-2015,Easter Monday
04-May-2015,Early May bank holiday
25-May-2015,Spring bank holiday
31-Aug-2015,Summer bank holiday
25-Dec-2015,Christmas Day
28-Dec-2015,Boxing Day
01-Jan-2016,New Year’s Day
25-Mar-2016,Good Friday
28-Mar-2016,Easter Monday
02-May-2016,Early May bank holiday
30-May-2016,Spring bank holiday
29-Aug-2016,Summer bank holiday
26-Dec-2016,Boxing Day
27-Dec-2016,Christmas Day
02-Jan-2017,New Year’s Day
14-Apr-2017,Good Friday
17-Apr-2017,Easter Monday
01-May-2017,Early May bank holiday
29-May-2017,Spring bank holiday
28-Aug-2017,Summer bank holiday
25-Dec-2017,Christmas Day
26-Dec-2017,Boxing Day
01-Jan-2018,New Year’s Day
30-Mar-2018,Good Friday
02-Apr-2018,Easter Monday
07-May-2018,Early May bank holiday
28-May-2018,Spring bank holiday
27-Aug-2018,Summer bank holiday
25-Dec-2018,Christmas Day
26-Dec-2018,Boxing Day
01-Jan-2019,New Year’s Day
19-Apr-2019,Good Friday
22-Apr-2019,Easter Monday
06-May-2019,Early May bank holiday
27-May-2019,Spring bank holiday
26-Aug-2019,Summer bank holiday
25-Dec-2019,Christmas Day
26-Dec-2019,Boxing Day
01-Jan-2020,New Year’s Day
10-Apr-2020,Good Friday
13-Apr-2020,Easter Monday
04-May-2020,Early May bank holiday
25-May-2020,Spring bank holiday
31-Aug-2020,Summer bank holiday
25-Dec-2020,Christmas Day
28-Dec-2020,Boxing Day
